"Comment","Class"
"I want to know what country my face look like","false"
"Dear Visa Team,\n\nWe are from SNG Company based in Dubai .\nNeed to know more detail on how to partner with your team for our Visa processing.","false"
"Hi,\n\nThis is Usama Ahmad from Pakistan I want to move to europe I am currently living in dubai","false"
"I want to avail USA visit/tourist visa services","false"
"Ilove this app so much \n","false"
"zaa ghwaram amrika taa larh sham aya sangma koli sham amrika taa larh sham","false"
"I WANT TO GET USA VISA","false"
"Us visa grenade of my wish","false"
"I need shengan visa","false"
"B6gvftrfcedx","false"
"consultation","false"
"I need urgent appointment in general consulate of Russian Federation in Dubai","false"
"I need appointment for D2 Portugal visa submission in Dubai for two people","false"
"hi hi","false"
"Visit visa japan\n","false"
"Need a Hungary visa","false"
"Bangladesh","false"
"I have experience in UAE 13 years im working aluminium doors kartingwal pradaction foreman","false"
"I need mincaft","false"
"Hi. I have an Invitation letter from a company that I closely work with to visit our HQ from January 8th to 11th.\n\nCan you facilitate the process to obtain the visa?\n","false"
"please chat me on whatsapp regarding documents and details","false"
"panjutha9876@icloud.com","false"
"I want to get in","false"
"\\&quot;Meera\\&quot;hormodi@..hfkllls","false"
"Good","false"
"Erg her","false"
"Shenghn","false"
"I need a work permit so contact me fast please","false"
"I want to apply study visa","false"
"I need Visa information","false"
"Bangladesh","false"
"I\\'m looking finland visa for family \nWe are 3 person .\nThank you","false"
"pleez","false"
"Jrjfkfjrt\n","false"
"I need visa information","false"
"i want to apply for USA student visa. please can you share with me USA student visa requirments as soon as possible. i will be waiting for your reponse. Thnakyou and have a good day","false"
"Could you please call me to clarify some issues and apply Schengen visa ?","false"
"I have been waiting for an app that shows you from which country you look from\n","false"
"Hi\n\nI need assistance in booking H1B interview slot and whole process.\n\nPlease connect with me for further proceedings\n\nThanks.","false"
"Abu Dhabi","false"
" North ryhmhrymrhy ring \n","false"
"Can I the full cost for f1 visa processes","false"
"Baick raider","false"
"Ttfrcyjdhgfcufctx","false"
"100","false"
"tourist visa","false"
"Egyptian live in uae \nAge 31 \n","false"
"call me","false"
"Hi am Nestel RoRecently I completed my bachelor\\'s degree in game art and design. I am interested in game design but my age is 21 is there is any passable to get e game visa\n","false"
"Assistance needed for French visa from Dubai","false"
"Spain visit visa","false"
"I want to know what country I look like.","false"
"we want to go to usa \n need visa please call me","false"
"Me scm hvksckibhx","false"
"66","false"
"hi","false"
"Please give me information for slvokia work veza what ducomment required","false"
"My name is ameer khan uae good cantry i like too much UAE","false"
"I want to avail the USA visit/tourist visa services","false"
"student visa f1, please contact","false"
"good country","false"
"I have I ipad\n","false"
"Like\n","false"
"I Love this game","false"
"Iam built different","false"
"pleez im wark","false"
"How much","false"
"Здравствуйте, хотели бы созвониться по поводу Визы шенгенской. Хотели бы проконсультироваться с вами по поводу кейса и узнать стоимость услуг.","false"
"I want 5004 robux please","false"
"Добрый день! Необходима консультация по визе в Великобританию.","false"
"жду звонка\n","false"
"I need wirk permit. Can you help me please!","false"
"Pls","false"
"I need Visa information","false"
"Shyjnbghnhthfnht","false"
"Hello Sir.kindly guide me About Work permit in detail.","false"
"Assistance needed with French visa from Dubai","false"
"Nice","false"
"Sddxcftx","false"
"I Want to try it","false"
"\nZoe","false"
"US B1/B2 visa application.","false"
"Ftghddh","false"
"i need to apply for Lithuania Schengen visa","false"
"I need a job in Japan","false"
"Ok","false"
"Please I want to play this game","false"
"IThe l","false"
"The first time I see you I love you","false"
"Msmmkhkndei FDA’s jghwfyfc","false"
"I need job","false"
"I love you","false"
"i Love this app","false"
"job","false"
"Maraim707","false"
"I want to renew my son\\'s US visa which is expiring in April 2025. He is 12 years old. He currently holds 10 years B1/B2 visa which was issued in Mumbai India. Currently we live in Dubai.","false"
"Hi DHL office in Dubi,unfortunetly yesterday on 12.12 .2024 on Dubi Air i gave 2 passport with Numbers :065945561 Parvin Alizada &amp; her dauther pass num:065945562 Elnaz Alizada to Ms Fatemehe bahrami (pass number:W53612603) the passenger by Mahan Airline in Dubi Airport to give the passports to Ms Alizada in Imamkhomeini Aieport when her Airplane arrive in Tehran.but we couldnt find her .we have some information about the traveler but we are not sure what happened in dead.plz let me know any other News about our losted Passports asap.\nThanks for attwntion rewards.\nMy Whats App num:00989125538711\nMy email adress:reza.134kh@gmail.com","false"
"Faisal and fashion Faisal and Faisal","false"
"I want to no how many people have same as my name","false"
"китайская виза","false"
"I need Visa information","false"
"Looking for Family sponsor Visa","false"
"I want to know what country do I look like.","false"
"Need job","false"
"Testing","false"
"Hi Team, \n\nMy boss needs to renew his residency visa (expires 24.01.2025). He has his own business in Dubai. Do you help with the visa renewal? If so, how much would that cost? \n\nBest regards, \nTanja","false"
"inquiry for schengen visa tourist travel","false"
"Foryo","false"
"hi im rowena i ant to inqire about italy visa can i get appointment of this\n","false"
"I am Upul Hemantha from Sri Lanka. I work in Aerospace Company in UAE. I need Move to Europe.Can you Help me. I like Italy or German work permit. This is my UAE number. +971507916250","false"
"Faisal and Faisal technical","false"
"I need 10000 robux\n","false"
"I need multiple US entry visa","false"
"Need Schengen work visa","false"
"I will like this process to be completed and proving","false"
"I need visa to china","false"
"Appointment vfs hungary visa 4 people","false"
"I WANT APPLY STUDY VISA USA GRADUATE PROGRAMME","false"
"Hi lele","false"
"USA VISA. I WANT ARABIC ASSISTANCE","false"
"I am enquiring about Japan travel kindly check my eligibility. Thanks","false"
"hii","false"
"looking schengen visa \nHusband wife and 1 kid 3years","false"
"Please Call me so i can provide you more information.","false"
"ikkaks","false"
"I want to know my face which country\n","false"
"We are a travel agency in UAE, we are looking for a B2B visa provider","false"
"Kkkfkkfkfkfkf","false"
"I want to try it ","false"
"Sir/madam,my name is Ammad Ali.I a. From Pakistan.I need Japan work permit vise.And how much cost &amp; how much salary package for drivers","false"
"hello I am interested in Singapore visa","false"
"I\\'m looking for a Schengen visa to Italy, please let me know how you can help","false"
"[url=https://sendeurope.com/fruit-picker-jobs/?device_id=39dbc3fe-b144-4bdf-a8c7-ad74c1571bf8]https://sendeurope.com/fruit-picker-jobs/?device_id=39dbc3fe-b144-4bdf-a8c7-ad74c1571bf8[/url]","false"
"Need a visa to travel","false"
"kindly contact","false"
"I want to apply for Spain visa","false"
"My boss wants to go to china, how to apply visa?","false"
"For interview date","false"
"Europe visa","false"
"I need visit visa I want to travel for 3 days","false"
"Hello would like to know the requirement to apply US Appointment","false"
"HI CALL ME BACK AFTER 3 PM\nIMTIAZ","false"
"Ramsisparsad45@gmailcom","false"
"I want to job in America","false"
"i need to apply for Schengen visa","false"
"Мне срочно нужно оформить транзитную визу через любую страну Европы для деловой поездки в Украину гражданину Афганистана. Он проживает более 10 лет в OAЭ, инвестор и владелец компаний. Сроки ограничены. Украинская виза выдана с 28 октября по 3 декабря. Нужно выехать максимум 15 ноября","false"
"Need early appointment for us via","false"
"I want work permit visa","false"
"Do you assist in getting earlies appointment","false"
"Need to visit Iceland for 10 days for tourism purposes.","false"
"I like to go to the USA or Canada on visit.","false"
"I\\'m interested","false"
"Hi, I want to get a visa to china \nThank you, Best Regards.","false"
"Family visit uas","false"
"Planning to visit explore the china","false"
"usa visa","false"
"Schengen visa application process","false"
"Naser","false"
"Hi I would like to inquire about Visa assistance for Spain and Greece :-)","false"
"I want to know how to get schengen work visa","false"
"Hi sir i am looking . drive jabs","false"
"For study base","false"
"I want to know should I have an amount of money on my bank or just tracking my actions due 3 months to apply for 4 to 5 days visa ?","false"
"hairdresser","false"
"I have inquiries","false"
"Lithuania work permit","false"
"Ia m intelligent students","false"
"I need urgent Schengen visa to Italy","false"
"Hello,\nI would like to obtain a visa to enter China.\nCould you please provide me with guidance on the process?\nThank you very much.","false"
"USA visit visa","false"
"I need a work permit visa","false"
"Afghanistan","false"
"Führungszeugnis","false"
"Looking for job and visa by company","false"
"i need work permit\n","false"
"Please i need more details about Japan visa and jobs opportunities.","false"
"I need an appointment to Hungary","false"
"Would like to know about the process for the visa for us","false"
"Hi I want to apply","false"
"Need to apply for USA multiple entry visa - UAE resident - Partner Visa","false"
"I want to go to Japan with my wife","false"
"Hi i need consultation for us visit visa ","false"
"Plumber , welder,car mechanic","false"
"Japan Visa application for family of three. Travelling on February 14 to Japan from Manila.","false"
"I need the VIP US Visa service to get the visa in 3 weeks or so. Please advise on pricing.","false"
"How well you know urwah","false"
"I want apply for spain visa please","false"
"Hi there, I\\'m looking to travel to China for work in the next 4 weeks and looking for help to get required visa. \nThanks","false"
"Requirement for employement visa to russia\n","false"
"Uae","false"
"Hi, I am interested for US visit Visa.","false"
"Looking for support for Spain visa","false"
"Estonia Visa","false"
"Visa","false"
"Need to know about i140 filing","false"
"Bangladesh","false"
"call me will have a discussion","false"
"Need visa for Australia","false"
"Work permit","false"
"Dear Sir. Need to know details plz. ","false"
"Spain business visa for a short term trip (5 days)","false"
"I need us b1 b2 visa for myself and my family","false"
"Hungarian visa to enter Ukraine. Wife and kids are in Ukraine. I have permanent Residency of Ukraine.\n\nI have prior Schengen visa from Hungary as I exited Ukraine in May via Budapest.","false"
"Kindly call back to guide on getting a Schengen Visa","false"
"H","false"
"visa to Spain or Italy for family","false"
"I need a job and I will work to help my family and serve you","false"
"Need a visa for Paris and Amsterdam for July 2025.","false"
"I would like to sponsor my wife and 2 years kid, what is the procedure and how much it\\'ll cost ?","false"
"Need a sponsored visa of Australia.","false"
"I need assistance on US visa","false"
"My name is Shabbir from Pakistan job in Dubai \nMy experience 2 year . marking refaal and brush painter\n","false"
"i need appointment for Schengen visa preferably France","false"
"USA Tourist visa for self and spouse","false"
"ديف","false"
"Hi, \nI would like to explore digital nomad and freelancer visa options to relocate to Dubai from Australia.\n\nLet me know of an available time slot to discuss these details.\n\nRegards,\nArtaza","false"
"hi can someone from your end reach out to me","false"
"Please tell me more your process","false"
"My asperince is UAE.\n 2 year.marking .bursh and refaal painter.\nMy name is Shabbir from Pakistan job in Dubai \nI\\'m 30 year old","false"
"I need to apply for a US Tourist Visa.","false"
"Hello ? I have a golden visa and i recently opened my company 4 months ago, i want to get a family business visa to travel either france italy i just want a multiple entry Schengen for some work and trying to acquire clients , i am lebanese so i dont know what country is easier to acquire. ","false"
"Schengen visa inquiry","false"
"Tourist visa appointment","false"
"Would need assistance in applying for 10 year USA visa","false"
"I need to apply for a visa to France before December please.","false"
"In fc mobile I need 50000000000\n","false"
"Urgent visaa","false"
"Dear Sir /Madam i have all the documents required as international students even admission letter so now i need assistance to get early appointment to the American embassy cz i will join the semester before 03 January","false"
"Quotation and information about processing times","false"
"I need us 5 years multiple visa newzeland visa information","false"
"I want travel to USA and worked there","false"
"Need your support regarding USA, 10 years multiple entry Visa.","false"
"i need to apply for vist visa for usa need to visit my sister and her kids in December hoilday time or Januaryplease tell me the process","false"
"Need B1/B visa urgently","false"
"hi, i am seeking US visit visa","false"
"нужна виза в Австралию, планирую поездку в районе нового года","false"
"Thanks","false"
"I want to be working Visa at Japan \n","false"
"I want to visit Japan to see Japan","false"
"Hiii","false"
"greece visa","false"
"kul","false"
"ANUM\n\nFyersyfay","false"
"I would like to apply china visa ..\nCould you please help me","false"
"I need visit visa","false"
"I need a work permit I have Dubai license number 3","false"
"I.need wark fore wood carpenter","false"
"I want to work there","false"
"visit visa","false"
"Am an african who need work visa sponsorship","false"
"I\\'m working on this tree","false"
"Itly visa","false"
"How can I be sponsored to work in Luxembourg","false"
"Hammabdh\n\n\n\n","false"
"USA VISA INQUIRE\n","false"
"I need job in China my dream I going to China","false"
"Need schengen visa ASAP. please call.","true"
"I am interested in applying for US Visitor Visa.","false"
"I want to apply for a visa","false"
"Am work in dubai 3 year driving","false"
"Bangladesh","false"
"Inquiring for China visa from Dubai for Filipino citizens.","false"
"Looking job in Australia","false"
"Hi I will nedd some help to do","false"
